04/03/2013 20:00:00;1;Kolkatta;league;1;2
04/04/2013 20:00:00;1;Bengaluru;league;8;9
04/05/2013 20:00:00;1;Hyderabad;league;3;4
04/06/2013 16:00:00;1;Delhi;league;2;5
04/06/2013 20:00:00;1;Chennai;league;6;9
04/07/2013 16:00:00;1;Pune;league;4;7
04/07/2013 20:00:00;1;Hyderabad;league;3;8
04/08/2013 20:00:00;1;Jaipur;league;5;1
04/09/2013 20:00:00;1;Mumbai;league;9;2
04/10/2013 20:00:00;1;Mohali;league;7;6
04/11/2013 16:00:00;1;Bangalore;league;8;1
04/11/2013 20:00:00;1;Pune;league;4;5
04/12/2013 20:00:00;1;Delhi;league;2;3
04/13/2013 16:00:00;1;Mumbai;league;9;4
04/13/2013 20:00:00;1;Chennai;league;6;8
04/14/2013 16:00:00;1;Kolkatta;league;1;4
04/14/2013 20:00:00;1;Jaipur;league;5;7
04/15/2013 20:00:00;1;Chennai;league;6;4
04/16/2013 16:00:00;1;Mohali;league;7;1
04/16/2013 20:00:00;1;Bangalore;league;8;2
04/17/2013 16:00:00;1;Pune;league;4;3
04/17/2013 20:00:00;1;Jaipur;league;5;9
04/18/2013 20:00:00;1;Delhi;league;2;6
04/19/2013 20:00:00;1;Hyderabad;league;3;7
04/20/2013 16:00:00;1;Kolkatta;league;1;6
04/20/2013 20:00:00;1;Bangalore;league;8;5
04/21/2013 16:00:00;1;Delhi;league;2;9
04/21/2013 20:00:00;1;Mohali;league;7;4
04/22/2013 20:00:00;1;Chennai;league;6;5
04/23/2013 16:00:00;1;Bangalore;league;8;4
04/23/2013 20:00:00;1;Mohali;league;7;2
04/24/2013 20:00:00;1;Kolkatta;league;1;9
04/25/2013 20:00:00;1;Chennai;league;6;3
04/26/2013 20:00:00;1;Kolkatta;league;1;7
04/27/2013 16:00:00;1;Jaipur;league;5;3
04/27/2013 20:00:00;1;Mumbai;league;9;8
04/28/2013 16:00:00;1;Chennai;league;6;1
04/28/2013 20:00:00;1;Delhi;league;2;4
04/29/2013 16:00:00;1;Jaipur;league;5;8
04/29/2013 20:00:00;1;Mumbai;league;9;7
04/30/2013 20:00:00;1;Pune;league;4;6
05/01/2013 16:00:00;1;Hyderabad;league;3;9
05/01/2013 20:00:00;1;Delhi;league;2;1
05/02/2013 16:00:00;1;Chennai;league;6;7
05/02/2013 20:00:00;1;Pune;league;4;8
05/03/2013 20:00:00;1;Kolkatta;league;1;5
05/04/2013 16:00:00;1;Hyderabad;league;3;2
05/04/2013 20:00:00;1;Bangalore;league;8;7
05/05/2013 16:00:00;1;Mumbai;league;9;6
05/05/2013 20:00:00;1;Jaipur;league;5;4
05/06/2013 20:00:00;1;Bangalore;league;8;3
05/07/2013 16:00:00;1;Jaipur;league;5;2
05/07/2013 20:00:00;1;Mumbai;league;9;1
05/08/2013 20:00:00;1;Hyderabad;league;3;6
05/09/2013 20:00:00;1;Mohali;league;7;5
05/09/2013 16:00:00;1;Pune;league;4;1
05/10/2013 16:00:00;1;Delhi;league;2;8
05/11/2013 16:00:00;1;Pune;league;4;9
05/11/2013 20:00:00;1;Mohali;league;7;3
05/12/2013 16:00:00;1;Ranchi;league;1;8
05/12/2013 20:00:00;1;Jaipur;league;5;6
05/13/2013 16:00:00;1;Delhi;league;2;7
05/13/2013 20:00:00;1;Mumbai;league;9;3
05/14/2013 20:00:00;1;Ranchi;league;1;4
05/15/2013 16:00:00;1;Chennai;league;6;2
05/15/2013 20:00:00;1;Mumbai;league;9;5
05/16/2013 20:00:00;1;Dharamsala;league;7;8
05/17/2013 20:00:00;1;Hyderabad;league;3;5
05/18/2013 16:00:00;1;Dharamsala;league;7;9
05/18/2013 20:00:00;1;Pune;league;4;2
05/19/2013 16:00:00;1;Bangalore;league;8;6
05/19/2013 20:00:00;1;Hyderabad;league;3;1
05/21/2013 20:00:00;1;Chennai;semifinal;;
05/22/2013 20:00:00;1;Chennai;semifinal;;
05/24/2013 20:00:00;1;Kolkatta;semifinal;;
05/26/2013 20:00:00;1;Kolkatta;final;;
